GEOID,donations,total,estimate
20724,6276,110552.95999999986,17513
20732,4164,104842.46,9820
20733,1910,50651.11,2777
20735,15308,316990.6299999999,38220
20736,3030,72934.04000000002,9248
20737,3706,102120.56000000011,22295
20740,12587,317914.8899999996,31349
20742,56,12867.61,6726
20743,6852,165297.1299999999,37888
20744,31497,615052.9699999988,54925
20745,12754,230824.93999999977,27790
20746,5612,110835.93000000008,27041
20747,9223,156460.6300000003,40484
20748,12089,230580.97000000085,38904
20751,943,30918.42999999999,2091
20754,1806,52836.890000000014,7124
20755,718,13748.61,10873
20758,169,6653.169999999999,451
20759,4003,216717.4500000003,5311
20762,160,2821.08,3079
20763,1067,16640.289999999997,1635
20764,1593,58113.28999999995,3829
20765,376,18800.06,407
20769,7457,183612.53000000017,6222
20770,17073,470197.8199999965,24560
20772,24555,701566.209999997,45321
20774,28133,790564.2600000018,47165
20776,1344,43335.319999999985,3271
20777,2707,111532.35999999994,3687
20778,1436,39547.169999999984,2079
20779,687,29339.599999999988,993
20781,5853,231033.8899999996,11694
20782,12863,595571.0799999984,33398
20783,5720,339753.4999999998,45302
20784,5749,90245.51000000014,30270
20785,11413,374647.23999999976,38878
20794,2890,65081.25000000002,17939
20812,416,82029.63,309
20814,54366,3840965.980000051,29021
20815,77637,9090681.019999975,30664
20816,35071,3206491.790000002,16316
20817,65357,5935171.610000005,37315
20818,3976,339569.6300000002,1971
20832,15646,505974.4099999999,26437
20833,4572,170021.89000000042,7369
20837,4684,155442.2500000004,6287
20838,448,18843.38,302
20839,462,11704.82,97
20841,4010,161266.3100000001,11443
20842,978,55610.649999999994,1676
20850,45289,1625183.4800000193,53176
20851,5030,158464.17000000016,15489
20852,48307,1984718.029999996,46178
20853,19911,556389.1599999968,31061
20854,55150,4750407.0800000075,49189
20855,10620,442482.6699999997,15287
20860,4148,138927.70000000022,2855
20861,2729,124085.48999999998,1449
20862,260,16786.32,341
20866,6180,175550.99000000046,16365
20868,451,11939.11,780
20871,8598,204083.8700000006,18628
20872,7302,125311.22000000012,12603
20874,22381,527915.7199999968,61087
20876,9660,214333.43000000037,30778
20877,15286,371444.01,38423
20878,41096,1313016.679999994,63030
20879,10054,219295.58000000264,26164
20880,1356,52557.24000000001,547
20882,8651,261341.96000000025,13988
20886,16207,362243.20999999874,34834
20895,26497,1347975.3600000064,19026
20896,1962,161566.2600000002,775
20899,30,3050,295
20901,42989,1309525.8700000062,36278
20902,29875,1073108.0000000023,52908
20903,6587,250580.09999999992,27973
20904,41324,1477418.6700000064,55275
20905,12733,509001.05000000366,18662
20906,54095,1138991.140000007,70749
20910,60712,2979373.470000009,44301
20912,38778,1936275.090000004,26140
21001,9185,126335.17999999996,24752
21005,1513,7449.8,2872
21009,5538,94785.23000000004,29905
21010,1196,18019.26,211
21012,11344,448162.7999999995,21600
21013,1809,42460.45999999997,4768
21014,9571,216782.57000000024,36538
21015,7969,198034.8099999996,29199
21017,1139,18434.4,6983
21028,777,21243.45,2783
21029,5070,334097.21000000037,10895
21030,9939,375350.1199999992,24396
21031,10,589.24,0
21032,5033,231805.08,8084
21034,608,23530.29,3483
21035,6200,200449.85000000024,7957
21036,1189,69995.87,2112
21037,9471,376584.1499999987,21046
21040,2305,33320.56,24166
21042,28455,1050627.5999999992,41195
21043,20844,686790.2499999983,47351
21044,44569,1337506.6200000034,44256
21045,30660,803755.2300000013,40365
21046,11234,309389.19999999896,15655
21047,2633,69101.56999999999,12266
21048,2073,66157.87999999996,10276
21050,3563,70752.11000000012,18123
21051,461,25766.14,295
21052,16,551,211
21053,776,14091.339999999998,3225
21054,5833,159548.24000000028,11199
21056,98,38413,158
21057,2464,65720.03000000001,4232
21060,14209,173872.13999999993,34899
21061,10219,168692.45000000004,53860
21071,287,8471.130000000001,581
21074,2983,55540.70000000002,15166
21075,8984,224807.7100000003,33726
21076,6352,235382.90000000017,17442
21077,85,1464.38,276
21078,7808,212588.47000000055,18366
21082,459,13343.93,656
21084,1638,29954.660000000033,7603
21085,2745,55980.65999999996,16055
21087,656,20466.26,5394
21090,1933,50232.64000000003,9991
21093,22218,633944.1899999967,37996
21102,3317,51923.16000000006,11787
21104,4210,99374.20000000011,5762
21105,28,267,0
21108,6603,220072.7800000001,18782
21111,3969,93046.8800000003,5387
21113,16279,444059.96000000014,34473
21114,8848,236144.47000000044,27303
21117,23052,657696.399999998,59301
21120,2596,77234.65999999997,7095
21122,9609,221055.7499999993,61051
21128,1908,49255.929999999986,13985
21130,7,225,156
21131,2873,130327.89000000012,7282
21132,185,6295.84,3232
21133,8682,146954.52000000025,33299
21136,11483,323548.850000002,34177
21140,1294,55152.62999999996,3564
21144,11718,222529.8500000001,35335
21146,13148,487095.9399999995,27555
21152,1796,80268.00000000007,5462
21153,1329,41921.91000000001,447
21154,568,14000.14,5804
21155,578,15340.34,2532
21156,40,1304.9999999999998,316
21157,8691,202460.4400000002,37749
21158,4343,99560.21000000004,20906
21160,285,5854.12,2933
21161,1036,26816.29999999997,5601
21162,705,11934.46,4331
21163,4816,171400.08000000005,7030
21201,6643,366729.6200000009,17256
21202,6148,382084.8500000009,21784
21204,12273,511605.4999999996,21545
